,Date,Time,Off.Wrist.Status,Activity,Marker,White.Light,Red.Light,Green.Light,Blue.Light,Sleep.Wake,Interval.Status
1,4/7/2021,6:00:00 PM,0,NA,0,NA,NA,NA,NA,NA,NA
2,4/7/2021,6:10:00 PM,0,NA,0,NA,NA,NA,NA,NA,NA
3,4/7/2021,6:20:00 PM,0,NA,0,NA,NA,NA,NA,NA,NA
4,4/7/2021,6:30:00 PM,0,NA,0,NA,NA,NA,NA,NA,NA
5,4/7/2021,6:40:00 PM,0,NA,0,NA,NA,NA,NA,NA,NA
6,4/7/2021,6:50:00 PM,0,NA,0,NA,NA,NA,NA,NA,NA
7,4/7/2021,7:00:00 PM,0,NA,0,NA,NA,NA,NA,NA,NA
8,4/7/2021,7:10:00 PM,0,NA,0,NA,NA,NA,NA,NA,NA
9,4/7/2021,7:20:00 PM,0,NA,0,NA,NA,NA,NA,NA,NA
10,4/7/2021,7:30:00 PM,0,NA,0,NA,NA,NA,NA,NA,NA
11,4/7/2021,7:40:00 PM,0,NA,0,NA,NA,NA,NA,NA,NA
12,4/7/2021,7:50:00 PM,0,NA,0,NA,NA,NA,NA,NA,NA
13,4/7/2021,8:00:00 PM,0,NA,0,NA,NA,NA,NA,NA,NA
14,4/7/2021,8:10:00 PM,0,NA,0,NA,NA,NA,NA,NA,NA
15,4/7/2021,8:20:00 PM,0,NA,0,NA,NA,NA,NA,NA,NA
16,4/7/2021,8:30:00 PM,0,NA,0,NA,NA,NA,NA,NA,NA
17,4/7/2021,8:40:00 PM,0,NA,0,NA,NA,NA,NA,NA,NA
18,4/7/2021,8:50:00 PM,0,NA,0,NA,NA,NA,NA,NA,NA
19,4/7/2021,9:00:00 PM,0,NA,0,NA,NA,NA,NA,NA,NA
20,4/7/2021,9:10:00 PM,0,NA,0,NA,NA,NA,NA,NA,NA
21,4/7/2021,9:20:00 PM,0,NA,0,NA,NA,NA,NA,NA,NA
22,4/7/2021,9:30:00 PM,0,NA,0,NA,NA,NA,NA,NA,NA
23,4/7/2021,9:40:00 PM,0,NA,0,NA,NA,NA,NA,NA,NA
24,4/7/2021,9:50:00 PM,0,NA,0,NA,NA,NA,NA,NA,NA
25,4/7/2021,10:00:00 PM,0,NA,0,NA,NA,NA,NA,NA,NA
26,4/7/2021,10:10:00 PM,0,NA,0,NA,NA,NA,NA,NA,NA
27,4/7/2021,10:20:00 PM,0,NA,0,NA,NA,NA,NA,NA,NA
28,4/7/2021,10:30:00 PM,0,NA,0,NA,NA,NA,NA,NA,NA
29,4/7/2021,10:40:00 PM,0,NA,0,NA,NA,NA,NA,NA,NA
30,4/7/2021,10:50:00 PM,0,NA,0,NA,NA,NA,NA,NA,NA
31,4/7/2021,11:00:00 PM,0,NA,0,NA,NA,NA,NA,NA,NA
32,4/7/2021,11:10:00 PM,0,NA,0,NA,NA,NA,NA,NA,NA
33,4/7/2021,11:20:00 PM,0,NA,0,NA,NA,NA,NA,NA,NA
34,4/7/2021,11:30:00 PM,0,NA,0,NA,NA,NA,NA,NA,NA
35,4/7/2021,11:40:00 PM,0,NA,0,NA,NA,NA,NA,NA,NA
36,4/7/2021,11:50:00 PM,0,NA,0,NA,NA,NA,NA,NA,NA
37,4/8/2021,12:00:00 AM,0,NA,0,NA,NA,NA,NA,NA,NA
