Date,Time,Off.Wrist.Status,Activity,White.Light,Red.Light,Green.Light,Blue.Light,Sleep.Wake,Interval.Status
4/9/2021,8:40:00 AM,0.2,50.3,391.6,454.9,886.4,353.6,-0.3,NA
4/9/2021,8:50:00 AM,0,201.6,165.45,210.5,291.1,150.8,0.5,NA
4/9/2021,9:00:00 AM,0,519.8,65.37,95.7,92.7,57.1,1,NA
4/9/2021,9:10:00 AM,0,354.5,209.86,333,265.4,176.8,1,NA
4/9/2021,9:20:00 AM,0,124.1,28.69,30.22,28.4,17.16,0.3,NA
4/9/2021,9:30:00 AM,0,81.8,27.23,28.3,23.3,15.88,0,NA
4/9/2021,9:40:00 AM,0,93.5,28.15,27.23,24.71,15.91,0,NA
4/9/2021,9:50:00 AM,0,97.2,26.69,27.07,23.63,15.79,0.1,NA
4/9/2021,10:00:00 AM,0,93.1,82.41,100,117.7,61.1,0.1,NA
4/9/2021,10:10:00 AM,0,34.7,304.3,352,430.1,246.2,0,NA
4/9/2021,10:20:00 AM,0,82.5,2152.3,1649,2000,1482,0,NA
4/9/2021,10:30:00 AM,0,55.7,2656.29,2797,5950,2325,0,NA
4/9/2021,10:40:00 AM,0,63.9,818.05,794,3039,622,0,NA
4/9/2021,10:50:00 AM,0,56.9,245.34,353,331,202,0,NA
4/9/2021,11:00:00 AM,0,538.6,210.84,318,307,182,1,NA
4/9/2021,11:10:00 AM,0,544.6,100.04,159.7,132.2,84.2,1,NA
4/9/2021,11:20:00 AM,0,457.2,77.66,115,104.1,63.5,1,NA
4/9/2021,11:30:00 AM,0,433.1,53,73.56,74,42.34,1,NA
4/9/2021,11:40:00 AM,0,622,65.53,95.7,92.6,55.5,1,NA
4/9/2021,11:50:00 AM,0,375,56.16,77.8,84.5,48.9,0.9,NA
4/9/2021,12:00:00 PM,0,224.2,36.61,32.4,30.5,19.8,0.7,NA
4/9/2021,12:10:00 PM,0,460.3,27.12,40.1,34.68,22.18,1,NA
4/9/2021,12:20:00 PM,0,613.2,470.12,686.5,767.58,439.05,1,NA
4/9/2021,12:30:00 PM,0,429.1,230.15,347.2,316.5,212.2,1,NA
4/9/2021,12:40:00 PM,0,189,101.7,137.8,122.4,84.7,0.5,NA
4/9/2021,12:50:00 PM,0,68.1,66.55,96.7,70.7,53.6,0.1,NA
4/9/2021,1:00:00 PM,0,53.2,470.8,611.4,644.7,440.5,0,NA
4/9/2021,1:10:00 PM,0,68.4,489.45,637,675.6,455,0.1,NA
4/9/2021,1:20:00 PM,0,160.9,214.62,296.6,315.93,198.21,0.4,NA
4/9/2021,1:30:00 PM,0,265.5,45.21,71.9,55.5,39,0.7,NA
4/9/2021,1:40:00 PM,0,122.4,45.12,64.1,53.99,38.43,0.2,NA
4/9/2021,1:50:00 PM,0,36.5,83.46,111.6,110.7,76,0,NA
4/9/2021,2:00:00 PM,0,116.6,84.56,117.2,108,76,0.1,NA
4/9/2021,2:10:00 PM,0,64.7,52.88,78.3,57.7,44.3,0,NA
4/9/2021,2:20:00 PM,0,66.2,882.91,947,1480,786,0,NA
4/9/2021,2:30:00 PM,0,118.7,957.85,1002,1624,863,0,NA
4/9/2021,2:40:00 PM,0,67.3,467.15,503,848,437,0,NA
4/9/2021,2:50:00 PM,0,235.5,97.07,131.9,154.2,100.4,0.5,NA
